Point:60	Drone:3	minCost:1316.54
cost 95.159 sec
The 1-th drone path:center	57	15	10	41	55	39	36	47	48	18	43	44	20	4	11	28	56	23	21	3	center
The 2-th drone path:center	7	12	52	30	1	24	37	50	35	17	58	59	29	27	0	16	8	51	26	49	center
The 3-th drone path:center	32	42	14	13	5	46	25	54	31	45	19	2	40	38	6	53	9	34	22	33	center
The calculate state:
times:215,currentCost:5926.99
times:216,currentCost:6195.23
times:217,currentCost:6453.41
times:218,currentCost:6143.61
times:219,currentCost:6312.88
times:220,currentCost:5884.08
times:221,currentCost:5442.44
times:222,currentCost:6126.95
times:223,currentCost:6285.55
times:224,currentCost:6454.54
times:225,currentCost:6160.94
times:226,currentCost:6095.67
times:227,currentCost:6010.07
times:228,currentCost:6668.58
times:229,currentCost:6331.06
times:230,currentCost:6454.43
times:231,currentCost:6315.6
times:232,currentCost:6814.83
times:233,currentCost:6477.54
times:234,currentCost:6483.3
times:235,currentCost:6129.29
times:236,currentCost:6660.55
times:237,currentCost:6734.97
times:238,currentCost:5741.96
times:239,currentCost:6668.73
times:240,currentCost:6435.91
times:241,currentCost:6116.57
times:242,currentCost:5936.04
times:243,currentCost:6630.53
times:244,currentCost:6924.68
times:245,currentCost:6413.7
times:246,currentCost:6288.91
times:247,currentCost:6463.79
times:248,currentCost:6588.07
times:249,currentCost:6063.78
times:250,currentCost:6053.57
times:251,currentCost:6014.32
times:252,currentCost:6157.73
times:253,currentCost:6158.34
times:254,currentCost:5899.6
times:255,currentCost:6462.41
times:256,currentCost:6336.18
times:257,currentCost:6057.52
times:258,currentCost:6060.83
times:259,currentCost:5863.34
times:260,currentCost:6511.23
times:261,currentCost:5813.31
times:262,currentCost:6471.39
times:263,currentCost:6333.72
times:264,currentCost:6456.08
times:265,currentCost:6985.71
times:266,currentCost:6351.5
times:267,currentCost:6077.47
times:268,currentCost:5370.75
times:269,currentCost:6839.98
times:270,currentCost:5716.14
times:271,currentCost:6755.88
times:272,currentCost:6184.56
times:273,currentCost:6178.22
times:274,currentCost:6687.61
times:275,currentCost:6462.69
times:276,currentCost:6049.47
times:277,currentCost:6692.31
times:278,currentCost:6216.03
times:279,currentCost:6322.99
times:280,currentCost:5877.57
times:281,currentCost:6088.41
times:282,currentCost:6091.3
times:283,currentCost:6529.25
times:284,currentCost:5883.58
times:285,currentCost:6302.33
times:286,currentCost:6475.67
times:287,currentCost:5704.87
times:288,currentCost:6264.43
times:289,currentCost:5935.41
times:290,currentCost:6338.21
times:291,currentCost:6022.89
times:292,currentCost:6206.65
times:293,currentCost:6106.6
times:294,currentCost:6640.25
times:295,currentCost:6803.23
times:296,currentCost:6007.94
times:297,currentCost:6125.02
times:298,currentCost:5888.44
times:299,currentCost:6171.96
times:300,currentCost:5701.25
times:301,currentCost:6351.36
times:302,currentCost:6585.12
times:303,currentCost:5867.36
times:304,currentCost:6000.09
times:305,currentCost:6315.03
times:306,currentCost:6640.1
times:307,currentCost:6156.49
times:308,currentCost:6049.85
times:309,currentCost:6477.65
times:310,currentCost:6517.94
times:311,currentCost:6113.8
times:312,currentCost:6237.23
times:313,currentCost:5387.86
times:314,currentCost:6510.75
times:315,currentCost:5610.94
times:316,currentCost:6138.11
times:317,currentCost:6159.19
times:318,currentCost:6769.62
times:319,currentCost:6591.82
times:320,currentCost:6733.07
times:321,currentCost:5942.41
times:322,currentCost:6319.18
times:323,currentCost:6210.06
times:324,currentCost:6268.89
times:325,currentCost:6414.4
times:326,currentCost:5635.87
times:327,currentCost:5968.95
times:328,currentCost:6236.25
times:329,currentCost:6782.83
times:330,currentCost:6066.8
times:331,currentCost:5828.45
times:332,currentCost:6192.09
times:333,currentCost:6506.29
times:334,currentCost:5944.4
times:335,currentCost:6704.37
times:336,currentCost:6210.96
times:337,currentCost:6303.03
times:338,currentCost:5748.8
times:339,currentCost:6399.9
times:340,currentCost:5919.69
times:341,currentCost:6224.51
times:342,currentCost:5970.7
times:343,currentCost:6011.13
times:344,currentCost:6170.31
times:345,currentCost:6196.57
times:346,currentCost:6091.97
times:347,currentCost:5977.93
times:348,currentCost:6114.75
times:349,currentCost:6035.02
times:350,currentCost:5855.59
times:351,currentCost:5974.6
times:352,currentCost:6256.75
times:353,currentCost:6040.23
times:354,currentCost:5838.8
times:355,currentCost:6457.42
times:356,currentCost:6278.91
times:357,currentCost:5881.69
times:358,currentCost:6323.23
times:359,currentCost:6625.79
times:360,currentCost:5636.77
times:361,currentCost:6757.24
times:362,currentCost:5926.65
times:363,currentCost:5791.25
times:364,currentCost:6518.69
times:365,currentCost:5993.36
times:366,currentCost:6750.6
times:367,currentCost:5951.92
times:368,currentCost:5729.18
times:369,currentCost:5936.7
times:370,currentCost:5472.25
times:371,currentCost:5856.44
times:372,currentCost:5836.17
times:373,currentCost:6157.94
times:374,currentCost:6231.2
times:375,currentCost:6759.31
times:376,currentCost:6425.62
times:377,currentCost:6099.29
times:378,currentCost:6105.02
times:379,currentCost:5889.29
times:380,currentCost:6819.29
times:381,currentCost:5717.13
times:382,currentCost:5678.59
times:383,currentCost:6139.37
times:384,currentCost:6339.37
times:385,currentCost:5888.26
times:386,currentCost:6213.22
times:387,currentCost:6449.97
times:388,currentCost:6170.13
times:389,currentCost:6519.03
times:390,currentCost:5799.82
times:391,currentCost:6407.77
times:392,currentCost:6545.71
times:393,currentCost:6090.64
times:394,currentCost:6321.37
times:395,currentCost:6163.32
times:396,currentCost:6272.67
times:397,currentCost:6535.68
times:398,currentCost:5916.31
times:399,currentCost:5511.55
times:400,currentCost:6008.91
times:401,currentCost:6342.65
times:402,currentCost:6473.16
times:403,currentCost:6291.9
times:404,currentCost:6093.65
times:405,currentCost:6010.32
times:406,currentCost:6606.63
times:407,currentCost:6062.03
times:408,currentCost:5639.74
times:409,currentCost:5585.19
times:410,currentCost:6529.88
times:411,currentCost:5747.96
times:412,currentCost:5870.71
times:413,currentCost:6143.18
times:414,currentCost:6424.95
times:415,currentCost:6238.8
times:416,currentCost:5488.2
times:417,currentCost:6138.89
times:418,currentCost:5623.16
times:419,currentCost:6436.53
times:420,currentCost:5343.74
times:421,currentCost:6602.05
times:422,currentCost:6484.58
times:423,currentCost:6047.01
times:424,currentCost:6877.76
times:425,currentCost:6350.03
times:426,currentCost:6538.03
times:427,currentCost:5992.34
times:428,currentCost:6000.71
times:429,currentCost:5922.58
times:430,currentCost:6382.18
times:431,currentCost:5738.77
times:432,currentCost:6030.81
times:433,currentCost:5995.51
times:434,currentCost:5781.44
times:435,currentCost:6143.78
times:436,currentCost:6152.05
times:437,currentCost:6662.7
times:438,currentCost:6583.41
times:439,currentCost:6262.27
times:440,currentCost:6357.93
times:441,currentCost:6685.03
times:442,currentCost:6345.57
times:443,currentCost:6086.7
times:444,currentCost:6241.97
times:445,currentCost:6078.34
times:446,currentCost:6304.18
times:447,currentCost:5797.75
times:448,currentCost:6296.36
times:449,currentCost:6261.69
times:450,currentCost:6170.68
times:451,currentCost:6199.88
times:452,currentCost:6496.19
times:453,currentCost:6688.81
times:454,currentCost:5941.53
times:455,currentCost:6006.17
times:456,currentCost:6137.68
times:457,currentCost:6438.74
times:458,currentCost:6361.59
times:459,currentCost:6107.72
times:460,currentCost:6564.27
times:461,currentCost:6316.35
times:462,currentCost:6232.07
times:463,currentCost:6164.72
times:464,currentCost:6125.15
times:465,currentCost:5630.46
times:466,currentCost:6944.67
times:467,currentCost:5874.4
times:468,currentCost:5911.55
times:469,currentCost:6602.61
times:470,currentCost:6243.01
times:471,currentCost:6432.4
times:472,currentCost:6315.09
times:473,currentCost:6683.55
times:474,currentCost:6371.21
times:475,currentCost:6045.29
times:476,currentCost:6021.16
times:477,currentCost:6283.19
times:478,currentCost:5809.71
times:479,currentCost:6344.74
times:480,currentCost:5795.04
times:481,currentCost:5607.8
times:482,currentCost:5743.78
times:483,currentCost:5574.68
times:484,currentCost:5960.05
times:485,currentCost:6505.35
times:486,currentCost:6504.75
times:487,currentCost:6186.69
times:488,currentCost:6379.68
times:489,currentCost:6111.56
times:490,currentCost:5850.31
times:491,currentCost:6111.95
times:492,currentCost:5890.83
times:493,currentCost:6159.33
times:494,currentCost:6137.19
times:495,currentCost:6181.89
times:496,currentCost:5979.4
times:497,currentCost:6036.73
times:498,currentCost:6487.2
times:499,currentCost:6247.47
times:500,currentCost:5936.79
times:501,currentCost:6215.07
times:502,currentCost:6424.7
times:503,currentCost:6203.6
times:504,currentCost:5976.86
times:505,currentCost:5896.46
times:506,currentCost:6767.13
times:507,currentCost:6050.63
times:508,currentCost:5997.15
times:509,currentCost:6213.43
times:510,currentCost:6156
times:511,currentCost:5708.77
times:512,currentCost:5445.56
times:513,currentCost:5262.14
times:514,currentCost:6002.03
times:515,currentCost:6030.99
times:516,currentCost:6599.63
times:517,currentCost:6345.58
times:518,currentCost:6106.08
times:519,currentCost:6086.43
times:520,currentCost:5820.41
times:521,currentCost:5691.7
times:522,currentCost:6763.66
times:523,currentCost:6546.21
times:524,currentCost:6238.99
times:525,currentCost:5777.83
times:526,currentCost:5952.95
times:527,currentCost:6371.32
times:528,currentCost:6202.51
times:529,currentCost:6489
times:530,currentCost:5972.24
times:531,currentCost:5920.12
times:532,currentCost:5972.11
times:533,currentCost:6493.59
times:534,currentCost:6412.98
times:535,currentCost:6235.81
times:536,currentCost:7147
times:537,currentCost:5971.43
times:538,currentCost:6105.76
times:539,currentCost:5595.97
times:540,currentCost:5611.49
times:541,currentCost:5687.86
times:542,currentCost:6055.21
times:543,currentCost:6195.12
times:544,currentCost:6173.33
times:545,currentCost:6323.09
times:546,currentCost:6559.14
times:547,currentCost:5430.75
times:548,currentCost:5923.05
times:549,currentCost:5592.95
times:550,currentCost:6570.67
times:551,currentCost:6297.78
times:552,currentCost:6303.2
times:553,currentCost:5986.72
times:554,currentCost:6244.44
times:555,currentCost:6179.7
